Accession,Description,Symbol,Peptides,PD_Detected_Peptides,Unique,100011 WT_EZR Normalized,100012 WT_EZR Normalized,100013 WT_EZR Normalized,100005 WT_CYT Normalized,100006 WT_CYT Normalized,100007 WT_CYT Normalized,100017_1 SPQC Normalized,100017_2 SPQC Normalized,100017_3 SPQC Normalized,WT_EZR_CV,WT_CYT_CV,SPQC_CV,WT_EZR_v_WT_CYT_FC,WT_EZR_v_WT_CYT_pval,Stats
Q811D0,Disks large homolog 1 OS,Dlg1,21,19.19.18.21.19.21,14,42779603.72,24484666.22,49093009.05,18080805,40008275.07,37428840.55,43697994.29,37846819.5,38461019.8,33,37.6,8.04,1.218172,0.5551795,
Q8BHF7,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial OS",Pgs1,8,8.8.6.8.7.7,8,1354807.067,935121.283,1503996.427,1133871.056,989477.9611,991261.2182,1071373.129,1235119.054,1090372.862,23.3,7.98,7.91,1.218106,0.3395075,
Q9DCS3,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS",Mecr,1,1.1.1.1.1.1,1,30978.52437,39922.90659,23932.5663,32673.69329,22480.0922,22700.94089,16781.02519,17468.75604,15777.38129,25.4,22.4,5.1,1.218089,0.377764,
Q9ER72,"Cysteine--tRNA ligase, cytoplasmic OS",Cars1,3,3.3.3.3.3.3,3,3485462.906,4865455.768,6199217.802,3087762.037,5717187.184,3148903.609,4370565.186,3982228.665,4490970.042,28,37.7,6.21,1.217192,0.4647947,
Q8C3X4,"Translation factor Guf1, mitochondrial OS",Guf1,2,2.2.2.2.2.2,2,31085.90354,29714.69813,27643.45853,29901.66241,22833.65896,19944.70455,23684.71001,22242.92812,26426.11273,5.88,21.1,8.81,1.216896,0.2148268,
Q8BMG7,Rab3 GTPase-activating protein non-catalytic subunit OS,Rab3gap2,16,13.14.14.15.15.16,16,4059052.215,5233857.209,5072249.484,3550741.718,4641426.19,3613522.074,4115299.629,3602662.337,3625238.964,13.3,15.6,7.66,1.2168,0.1692082,
Q3U0M1,Trafficking protein particle complex subunit 9 OS,Trappc9,10,9.9.9.9.10.9,10,2530437.619,2908735.659,2871449.843,2033410.196,2597454.463,2202582.242,2544185.802,2428153.321,2455217.473,7.53,12.7,2.45,1.216169,0.09167166,
Q9CQF9,Prenylcysteine oxidase 1 OS,Pcyox1,5,5.5.4.5.5.5,5,930493.421,1013467.347,805362.5217,774188.8563,853858.9323,633410.1087,917210.1224,917284.2361,854455.4389,11.4,14.8,4.04,1.21573,0.1520432,
Q3UM29,Conserved oligomeric Golgi complex subunit 7 OS,Cog7,1,1.1.1.1.1.1,1,97186.21728,116846.3641,70960.25398,82716.3003,78755.19019,73074.94778,67011.81042,85819.01916,82501.19372,24.2,6.2,12.8,1.215081,0.3513036,
P63216,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS,Gng3,1,1.1.1.1.1.1,1,97747.22121,78246.3451,85330.53091,83533.08304,86039.9319,45571.58937,70746.2723,75480.8224,73129.37153,11.3,31.6,3.24,1.214644,0.3847839,
Q8K1A6,Coiled-coil and C2 domain-containing protein 1A OS,Cc2d1a,6,6.6.6.6.6.6,6,1123748.649,1413321.868,1343977.382,1019566.6,1061178.041,1115753.133,1025443.158,1012139.78,1110597.097,11.7,4.53,5.09,1.214156,0.09808447,
Q91WD5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS",Ndufs2,2,2.2.2.2.2.2,2,434565.6164,324537.2642,318280.5693,221619.6457,431138.5627,234789.1966,312300.8464,285142.3836,384145.2832,18.2,39.7,15.6,1.213888,0.4019502,
Q61425,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS",Hadh,4,4.4.4.4.3.4,4,468824.7722,527455.6299,455500.476,423651.707,434468.296,337884.0993,362386.2156,344816.0304,420344.2421,7.91,13.3,10.5,1.213859,0.1154022,
Q811G0,Protein PTHB1 OS,Bbs9,1,1.1.1.1.1.1,1,10245.29823,13353.04631,13533.08922,10006.95633,9901.945192,10683.47836,6862.445157,14179.07006,13763.34059,14.9,4.16,35.4,1.213748,0.1694596,
Q64689,"Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase OS",St8sia3,2,2.2.1.1.2.2,2,42030.5058,34690.5342,37725.56792,31154.10583,32526.81714,30631.97197,32690.02109,37126.00323,32839.95536,9.67,3.11,7.36,1.213478,0.06383147,
Q80U35,Rho guanine nucleotide exchange factor 17 OS,Arhgef17,5,5.5.5.5.5.5,5,226402.6329,229845.5468,234050.8864,182845.1543,165935.5689,220324.9535,209791.653,217883.107,201649.7888,1.66,14.7,3.87,1.212954,0.136303,
Q924L1,LETM1 domain-containing protein 1 OS,Letmd1,1,1.1.1.1.1.1,1,40357.37782,49155.63964,40805.29826,29101.76746,44511.26425,34008.86192,31980.85969,59345.65554,52427.39993,11.4,21.9,29.7,1.21089,0.2425365,
Q91YI4,Beta-arrestin-2 OS,Arrb2,2,2.2.2.2.2.2,2,67443.20887,84452.51627,55556.80502,47805.71836,43529.49477,80145.03331,66902.98375,81060.4435,56356.707,21,35,18.2,1.209775,0.4053766,
Q9Z0S6,Claudin-10 OS,Cldn10,2,1.2.2.2.2.2,2,533942.7384,713813.4648,728802.3363,551972.8185,425735.4407,656699.88,580246.9161,646181.7142,720159.6431,16.5,21.2,10.8,1.209342,0.2937589,
Q80YA9,Connector enhancer of kinase suppressor of ras 2 OS,Cnksr2,6,6.5.5.6.4.6,6,1392576.476,895383.3817,1037085.408,890284.1312,849746.1697,1009510.984,1156562.083,859643.4113,1029958.867,23.1,9.06,14.7,1.209309,0.3094546,
Q8BHD8,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2 OS,Pcmtd2,1,1.1.1.1.1.1,1,24181.82069,26901.56806,16023.27039,16790.65391,17625.9727,21084.6927,21615.97677,25846.93338,19596.61967,25.3,12.3,14.3,1.2091,0.4006967,
P29595,NEDD8 OS,Nedd8,2,1.1.2.2.2.2,2,598962.2659,218848.1367,476063.2376,336412.0438,447970.0713,285780.4315,279877.2752,206122.3472,232430.0675,45,23.3,15.6,1.209044,0.7365636,
Q8BMQ2,General transcription factor 3C polypeptide 4 OS,Gtf3c4,3,3.3.2.3.3.3,3,210564.3907,187193.8619,96155.33018,105810.5816,185774.3451,116951.5381,136884.5371,128697.9718,133171.3256,36.7,31.8,3.08,1.208983,0.6104232,
Q3UUI3,Acyl-coenzyme A thioesterase THEM4 OS,Them4,3,3.3.2.2.2.3,3,1062615.211,1112319.044,1319536.229,851073.0674,1070372.567,971364.7413,853610.7879,1057661.046,985538.3061,11.7,11.4,10.7,1.207985,0.1136525,
Q8BVI4,Dihydropteridine reductase OS,Qdpr,1,1.1.1.1.1.1,1,314232.143,280858.5211,268458.0305,276089.2545,203329.2238,235729.5704,336198.7107,234064.8032,243372.8248,8.22,15.3,20.8,1.20751,0.146132,
Q9CQD1,Ras-related protein Rab-5A OS,Rab5a,5,5.5.5.5.5.5,5,2888356.284,2615750.426,2395211.214,2150814.659,2701525.798,1690913.896,2277476.464,2227786.079,2122627.37,9.38,23.2,3.58,1.207246,0.2687376,
Q8R4G0,Netrin-G1 OS,Ntng1,2,2.1.2.2.2.2,2,102707.7973,80996.59611,104993.5797,66010.37845,114286.5262,58860.40366,63882.33296,79074.82575,81483.30259,13.8,37.8,12.8,1.207147,0.3917175,
Q8BX17,Gem-associated protein 5 OS,Gemin5,4,4.4.4.4.4.4,4,440905.957,525337.4409,409636.4583,402129.4736,455096.8667,282920.3099,462035.5774,468932.2868,365342.4131,13.1,23.2,13.4,1.206757,0.2970271,
O35607,Bone morphogenetic protein receptor type-2 OS,Bmpr2,8,6.5.5.8.7.8,8,740429.9218,638432.0906,725105.8343,649645.2305,480097.6032,614103.4133,633614.2607,598299.8371,621533.674,7.84,15.4,2.91,1.20651,0.1603227,
P27659,60S ribosomal protein L3 OS,Rpl3,21,20.19.20.19.20.19,21,9239491.899,9252553.671,10238846.08,8370165.56,5795451.684,9655362.925,9218906.617,8960412.608,8494726.375,5.99,24.8,4.13,1.206117,0.3024429,
Q8R2R9,AP-3 complex subunit mu-2 OS,Ap3m2,12,12.12.12.12.12.12,10,15750425.11,13010018.5,14239946.13,13250449.54,11655892.38,10755299.86,13140585.23,11192973.95,11671643.88,9.58,10.6,8.46,1.205788,0.08466992,
Q9WVH9,Fibulin-5 OS,Fbln5,2,2.2.2.2.2.2,2,156232.5017,146174.544,82039.8962,124894.2861,91040.0219,102919.7575,125697.7801,141913.7835,141389.1706,31.4,16.2,6.76,1.205714,0.5382739,
F8VPU2,"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS",Farp1,45,44.42.43.42.43.42,44,65898421.78,80435908.01,82892860.44,58767426.52,63822656.37,67542424.86,65462257.89,64325339.25,61324120.08,12,6.95,3.36,1.205618,0.1085238,
Q8BTH8,Casein kinase I isoform gamma-1 OS,Csnk1g1,3,3.3.2.3.3.3,1,746673.6408,395542.7627,617687.6069,518251.2278,522592.3438,419047.8523,611620.7735,496258.18,555064.5308,30.3,12,10.4,1.205503,0.4985233,
P62962,Profilin-1 OS,Pfn1,14,14.14.13.12.12.13,14,19445778.15,22091564.3,20584846.54,17818451.55,15797959.46,17936542.91,18705113.18,17106282.82,18501381.06,6.41,7,4.81,1.205017,0.02845263,
A2CG49,Kalirin OS,Kalrn,12,11.10.11.12.12.12,12,2991819.964,3426366.195,3326938.855,2692140.58,2575568.23,2822532.072,3004064.108,2837730.786,2742577.769,7.01,4.58,4.63,1.204553,0.02586214,
Q8VE88,Protein FAM114A2 OS,Fam114a2,5,5.5.5.5.5.5,5,1367756.001,2044393.269,1237929.072,1012854.54,1251376.841,1597258.692,1426973.368,1146256.749,1056228.748,27.9,22.8,16,1.204219,0.4272765,
Q6PIP5,NudC domain-containing protein 1 OS,Nudcd1,1,1.1.1.1.1.1,1,25864.96447,43178.61777,32631.04273,26452.89944,30021.24392,27978.00689,29990.19475,32194.8567,37204.86694,25.7,6.36,11.2,1.203932,0.3821518,
P47941,Crk-like protein OS,Crkl,15,14.12.14.14.13.14,15,12391016.03,15716039.47,12706936.74,10758388.07,10557862.42,12604800.72,11819625.69,11592268.02,11930216.18,13.5,9.98,1.46,1.203205,0.1302041,
Q9WU84,Copper chaperone for superoxide dismutase OS,Ccs,1,1.1.1.1.1.1,1,21929.32077,31139.49613,65641.92863,23393.75061,37961.54009,37324.30147,30828.88451,44593.6358,42757.48383,58.2,25,19,1.202992,0.7986145,
Q9CPV4,Glyoxalase domain-containing protein 4 OS,Glod4,9,9.9.9.8.9.9,9,1724328.533,1927857.165,1919384.16,1715067.607,1270539.403,1650729.347,1605514.789,1696311.568,1898312.353,6.2,15.5,8.65,1.201718,0.1697345,
Q9DAK9,14 kDa phosphohistidine phosphatase OS,Phpt1,5,5.4.3.5.5.5,5,1479746.793,1757044.579,1693156.089,1317846.591,1342770.996,1442013.552,1115015.06,1347025.623,1226698.699,8.84,4.8,9.44,1.201655,0.05337457,
Q7TNC9,Inositol polyphosphate-5-phosphatase A OS,Inpp5a,2,2.2.2.2.2.1,2,28548.85302,57817.85364,31349.9723,25489.17115,42265.43983,30284.13403,26493.05932,20804.92899,25856.46736,41.2,26.4,12.8,1.200716,0.598988,
Q9JM76,Actin-related protein 2/3 complex subunit 3 OS,Arpc3,6,6.5.6.6.6.6,6,2846066.145,2169092.568,2661730.595,2386562.118,1921026.254,2086181.078,2378309.267,2431424.289,2372088.76,13.7,11.1,1.36,1.200683,0.1602291,
Q9Z0P5,Twinfilin-2 OS,Twf2,6,6.6.6.6.6.6,6,2191833.291,2701595.974,2541070.712,2026052.699,2078743.761,2087346.508,2186497.581,2182448.806,1921766.764,10.5,1.61,7.23,1.200634,0.09886204,
Q91YM2,Rho GTPase-activating protein 35 OS,Arhgap35,47,45.43.45.46.45.46,47,19861762.52,22154995.83,23014294.62,17500653.66,18027114.92,18683630.36,19391931.15,19594877.42,18263163.37,7.52,3.28,3.76,1.199583,0.03922093,
Q9CYR6,Phosphoacetylglucosamine mutase OS,Pgm3,1,1.1.1.1.1.1,1,231534.1927,211320.55,308293.1204,225646.6106,225921.5217,174637.3769,173169.0311,183980.2456,243631.6584,20.4,14.1,18.9,1.199523,0.2893789,
Q61140,Breast cancer anti-estrogen resistance protein 1 OS,Bcar1,27,23.24.25.26.24.25,27,14654266.61,15706539.44,14916375.86,13997824.86,11749609.93,11999632.91,12535554.32,12416219.34,12150622.01,3.63,9.79,1.59,1.199489,0.06451299,
Q80Y17,Lethal(2) giant larvae protein homolog 1 OS,Llgl1,23,22.21.22.20.20.21,23,15372444.62,18353272.32,18812159.76,14074600.89,14544968.02,15204097.84,14862260,15086609.97,15760891.23,10.7,3.88,3.07,1.198847,0.09458039,
Q3UVC0,Kinase suppressor of Ras 2 OS,Ksr2,2,1.2.2.2.1.2,2,58480.37257,57251.20156,116439.1572,77677.72492,71992.23613,44001.40103,65832.02655,79727.62669,61459.01682,43.7,27.9,13.8,1.198787,0.6305822,
Q8CJG1,Protein argonaute-1 OS,Ago1,2,2.2.2.2.2.2,2,264611.0258,211222.068,252050.6432,201149.1893,216601.1376,189437.7178,233510.9556,247622.5325,239930.7218,11.5,6.73,2.94,1.198778,0.1038555,
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS",Plcb3,22,21.20.21.20.22.22,22,7396581.06,8360260.553,9616575.11,6796759.488,6813975.779,7568819.952,7935540.417,7255045.994,7948450.164,13.2,6.24,5.14,1.198015,0.1312635,
G3XA57,Rab11 family-interacting protein 2 OS,Rab11fip2,1,1.1.1.1.1.1,1,136789.1314,155518.7867,124373.9869,104888.7294,112729.0386,130453.1403,118872.4243,144557.957,118991.8131,11.3,11.3,11.6,1.197118,0.1197269,
P28028,Serine/threonine-protein kinase B-raf OS,Braf,9,7.8.8.7.7.7,7,3303775.805,3799956.451,2746846.717,2841278.238,2649735.327,2742537.789,2823086.355,2593557.276,2603739.481,16,3.49,4.85,1.196395,0.2065542,
Q8C006,E3 ubiquitin-protein ligase TRIM35 OS,Trim35,1,1.1.-.1.1.1,1,12675.0854,13905.03978,16036.86293,14708.18292,7930.99658,12992.5515,9865.457334,9897.41944,14022.42054,12,29.7,21.2,1.19604,0.3895914,
Q91V92,ATP-citrate synthase OS,Acly,41,41.40.38.39.37.40,41,32232751.75,35452804.89,36104797.51,26766895.58,31490141.91,28527952.68,32253652.64,31428733.87,30787651.86,5.99,8.25,2.33,1.195948,0.04204107,
P97765,WW domain-binding protein 2 OS,Wbp2,1,1.1.1.1.1.1,1,243817.93,290195.5013,257948.4713,264452.202,233257.1524,164800.6615,309310.4303,205367.3243,260997.6619,9,23.1,20.1,1.195396,0.3008748,
P63143,Voltage-gated potassium channel subunit beta-1 OS,Kcnab1,1,1.1.1.1.1.1,1,23706.19987,20563.60437,24259.60914,12263.72628,35706.88616,9361.953381,18286.37897,16481.87347,15715.10904,8.73,75.6,7.84,1.195296,0.479243,
Q9D1P4,Cysteine and histidine-rich domain-containing protein 1 OS,Chordc1,11,11.10.11.11.10.11,11,5363817.379,4778581.196,4680877.486,4459861.154,3897591.515,4045763.018,4728314.433,5048261.81,5112799.918,7.47,7.05,4.15,1.195116,0.03819485,
Q8R123,FAD synthase OS,Flad1,1,1.-.1.1.1.1,1,16757.30571,28818.78153,34558.88216,22927.816,20171.41199,23960.38864,17209.93702,20809.48201,21413.47653,34,8.76,11.5,1.194981,0.5979008,
Q8BHD7,Polypyrimidine tract-binding protein 3 OS,Ptbp3,1,1.-.1.1.1.1,1,26988.3415,38665.51482,34472.97507,31172.59061,33121.19972,19518.42113,22904.36929,22621.41006,26984.79721,17.7,26.3,10.1,1.194657,0.3934973,
Q6VGS5,Protein Daple OS,Ccdc88c,4,4.4.4.4.4.4,4,107664.2413,130415.4066,88597.19912,86911.98039,84661.53959,101968.644,105619.6935,115709.454,105929.5459,19.2,10.3,5.26,1.194247,0.2725994,
Q8BHA1,Leucine-rich repeat-containing protein 24 OS,Lrrc24,2,2.2.2.2.2.2,2,25436.7419,24487.74637,27478.59414,19213.24887,21676.73631,23967.1935,15023.21452,36298.3549,21882.69769,5.92,11,44.5,1.193439,0.08771378,
Q9CQE3,"28S ribosomal protein S17, mitochondrial OS",Mrps17,3,2.3.2.3.3.3,3,295062.6172,574208.5603,315161.932,324202.3276,342616.6553,325724.2795,316303.7355,265428.9276,288577.6014,39.4,3.09,8.78,1.193331,0.6029497,
Q922E6,"FAST kinase domain-containing protein 2, mitochondrial OS",Fastkd2,4,4.4.3.4.4.4,4,974534.4448,894652.1211,1442705.918,1001034.3,979701.3997,794961.2243,971358.7144,1169434.38,738095.332,26.8,12.2,22.5,1.193175,0.4051035,
P41216,Long-chain-fatty-acid--CoA ligase 1 OS,Acsl1,11,10.10.9.10.11.10,10,3076087.604,1649363.604,2217745.508,2137660.868,1988755.983,1693450.755,1869052.58,2107358.9,2251689.988,31,11.7,9.31,1.193016,0.5045584,
Q8BYR5,Calcium-dependent secretion activator 2 OS,Cadps2,1,1.1.1.1.1.1,1,81354.87139,73005.46339,67027.48923,69413.72551,57695.99102,58517.72105,68580.42489,70828.64566,72032.07332,9.75,10.6,2.49,1.192646,0.09687504,
P48453,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS,Ppp3cb,5,4.5.5.4.4.3,5,1886267.433,1627714.619,1901716.47,1364213.389,1838195.737,1340015.395,1620773.847,1720283.076,1584555.232,8.53,18.6,4.28,1.192248,0.2080399,
P97454,Mothers against decapentaplegic homolog 5 OS,Smad5,1,1.1.1.1.1.1,1,28980.03847,52345.24659,41972.94023,29224.85667,41634.90148,32632.16979,25994.6074,25291.10271,26157.2769,28.5,18.6,1.78,1.19138,0.4873743,
P29533,Vascular cell adhesion protein 1 OS,Vcam1,1,1.1.1.1.1.1,1,91013.86963,122421.3633,59915.5586,87423.20576,55740.98915,86329.84437,75263.61105,86917.09883,103493.3396,34.3,23.5,16,1.191102,0.5813934,
P28660,Nck-associated protein 1 OS,Nckap1,55,50.53.53.53.54.53,52,64182921.88,61328214.7,62050190.73,55003172.58,55117118.18,47434356.07,59222127.81,57427090.19,58040594.98,2.37,8.38,1.57,1.190453,0.06195502,
Q8BKC8,Phosphatidylinositol 4-kinase beta OS,Pi4kb,2,2.2.1.1.1.1,2,211857.3951,224062.1555,322152.645,185297.6826,248851.2817,203176.0125,195204.3989,159444.6377,174659.9714,23.9,15.4,10.2,1.189459,0.3667909,
Q9JIK5,Nucleolar RNA helicase 2 OS,Ddx21,4,4.4.4.4.4.4,4,5857176.458,5303459.626,6371023.038,4845195.579,5191297.075,4707321.633,4431534.773,5138618.457,5935867.167,9.14,5.07,14.6,1.189086,0.06350174,
Q91ZR2,Sorting nexin-18 OS,Snx18,3,2.3.3.2.3.3,3,875539.7396,1081928.159,918738.0347,773204.0152,834428.3532,811866.352,727174.2881,902601.898,856948.0056,11.4,3.84,11,1.188761,0.1058706,
Q921M7,CYFIP-related Rac1 interactor B OS,Cyrib,9,9.9.8.9.9.8,7,5888934.497,5841173.004,4789223.712,4737646.466,4430181.044,4736108.685,4652304.594,4934333.13,4373739.183,11.3,3.82,6.02,1.188105,0.1191008,
Q9D1T0,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 OS,Lingo1,7,6.7.6.7.6.7,7,1836007.583,1886063.702,2005632.28,1670806.249,1604875.228,1545960.037,1576611.845,1658847.59,1774279.854,4.56,3.89,5.95,1.187916,0.00799054,
Q80YT7,Myomegalin OS,Pde4dip,3,2.3.3.3.3.3,3,4346273.356,3852601.913,3424563.822,3282026.5,3470133.954,3037459.338,3946672.652,3575918.972,2948474.138,11.9,6.65,14.5,1.187323,0.1182242,
A2AGT5,Cytoskeleton-associated protein 5 OS,Ckap5,54,52.53.49.51.52.48,54,18560799.3,20847511.03,21932896.77,16403354.99,17735540.79,17528696.67,16559803,16051251.58,16376824.66,8.42,4.16,1.58,1.187228,0.05608385,
Q4KUS2,Protein unc-13 homolog A OS,Unc13a,16,14.15.15.15.14.14,10,2934959.352,2422838.349,3486577.789,2678047.21,2413012.101,2358835.601,2625644.175,2933837.839,2758556.585,18,6.88,5.58,1.187181,0.2593308,
Q91W52,Transmembrane protein 19 OS,Tmem19,1,1.1.1.1.1.1,1,45256.18196,54978.17795,36555.53367,39963.56004,35837.54096,39433.20229,39385.61502,43530.35822,44772.7008,20.2,5.84,6.63,1.187059,0.3087156,
Q9JIK9,"28S ribosomal protein S34, mitochondrial OS",Mrps34,1,1.1.-.1.1.1,1,14029.39332,14838.91469,15381.33374,11734.8221,16280.90656,9267.430178,1897.766534,1630.209541,15106.62209,4.61,28.6,124,1.186853,0.3498816,
Q64008,Ras-related protein Rab-34 OS,Rab34,1,1.1.1.1.1.1,1,61527.49581,71747.12425,102756.9054,47740.5106,86184.95454,65030.57353,68982.90795,74343.21434,87594.21738,27.3,29,12.4,1.18635,0.4846915,
Q8BHN1,Gamma-taxilin OS,Txlng,1,1.1.1.1.1.1,1,14015.35865,27353.59659,30289.86589,19795.69568,26058.86078,14570.79492,31871.73375,18153.18854,19404.18361,36.3,28.6,32.8,1.185907,0.6510108,
P51830,Adenylate cyclase type 9 OS,Adcy9,8,7.6.8.8.8.8,8,915237.9959,816039.6811,925887.2428,732628.5307,829044.8565,679104.9056,801654.8631,756739.764,752709.7429,6.84,10.2,3.53,1.185822,0.07946023,
P41105,60S ribosomal protein L28 OS,Rpl28,4,4.4.4.4.4.4,4,1464229.441,1798050.631,1583576.388,1227194.104,966782.4742,1895903.893,1685745.873,1797821.727,1663084.576,10.5,35.2,4.21,1.184841,0.4090604,
P46638,Ras-related protein Rab-11B OS,Rab11b,1,1.1.-.1.1.1,1,185690.8294,152738.719,159662.4202,130042.8068,129583.8535,161181.9314,95223.09164,155398.9997,95483.94587,10.5,12.9,30,1.183654,0.1445728,
A2ASS6,Titin OS,Ttn,7,7.7.6.6.5.7,7,2146971.853,2225435.853,2277004.581,2094702.728,1604842.275,1918969.453,2141835.529,1769823.157,1769707.362,2.95,13.3,11.3,1.183482,0.1509062,
Q69ZH9,Rho GTPase-activating protein 23 OS,Arhgap23,7,6.6.5.7.6.7,7,1600312.701,1579398.312,1818326.71,1451436.16,1486776.872,1286163.846,1804665.698,1623074.034,1473237.941,7.94,7.61,10.2,1.183142,0.05708409,
Q9Z2H5,Band 4.1-like protein 1 OS,Epb41l1,39,39.37.39.38.38.39,37,44880733.96,39506908.94,38160780.58,36597253.52,30018441.61,37004878.2,36371755.17,38995008.49,36011241.31,8.7,11.4,4.39,1.182665,0.1199677,
O35382,Exocyst complex component 4 OS,Exoc4,17,16.16.15.17.17.17,17,3986067.749,4081934.137,4273000.023,3745395.736,3311250.258,3379570.335,3422445.833,3380430.757,3316979.3,3.55,6.71,1.57,1.182517,0.02886112,
P97819,85/88 kDa calcium-independent phospholipase A2 OS,Pla2g6,1,1.1.1.1.1.1,1,64486.89816,68060.53578,81254.2722,67084.75294,62247.93811,51496.63745,51452.45336,41011.16617,54933.29663,12.4,13.2,14.7,1.18234,0.1852416,
Q8C4S8,DENN domain-containing protein 2A OS,Dennd2a,3,2.3.2.2.3.2,3,312261.8775,347129.6025,374316.8051,301806.8537,228366.9669,344135.7711,335638.5151,365151.5885,306317.9089,9.03,20.1,8.76,1.182314,0.2759741,
P60764,Ras-related C3 botulinum toxin substrate 3 OS,Rac3,4,4.4.4.3.4.3,4,1475031.059,2502295.736,2025156.945,1278513.845,2020323.524,1779367.902,1545123.818,1946620.448,1948855.301,25.7,22.4,12.8,1.182009,0.4746869,
Q8K0G5,EARP and GARP complex-interacting protein 1 OS,Eipr1,3,2.2.2.2.2.3,3,106259.4143,139054.19,102395.2282,84377.39653,109940.0493,99962.58379,343799.292,300546.102,325096.514,17.4,13.1,6.71,1.181558,0.2604195,
P08752,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS,Gnai2,16,15.15.15.13.15.14,8,15025400.84,13521924.41,15790620.34,12641447.2,12250963.93,12636967.84,14067311.11,13349575.76,12669524.44,7.81,1.79,5.23,1.18142,0.06266131,
Q05909,Receptor-type tyrosine-protein phosphatase gamma OS,Ptprg,3,2.1.2.2.3.3,3,349545.4681,392163.1417,354892.4462,360204.0191,283356.3416,284855.8838,399371.9385,313747.3844,293142.8875,6.35,14.2,16.8,1.181152,0.1496187,
P57780,Alpha-actinin-4 OS,Actn4,2,1.1.2.2.2.2,2,56114.62382,40857.04393,66228.42483,52365.1702,40014.38491,45826.90115,43499.0769,52326.74843,41072.91931,23.5,13.4,13,1.180843,0.4121852,
P34914,Bifunctional epoxide hydrolase 2 OS,Ephx2,5,5.5.5.5.5.5,5,883965.5228,1006444.135,928672.1886,890635.419,677443.5087,819399.2942,806700.2696,745970.9218,666741.5127,6.6,13.6,9.49,1.180778,0.1567091,
Q64331,Unconventional myosin-VI OS,Myo6,40,37.39.38.38.35.38,40,20990898.02,28163860.72,25271130.28,19299224.23,20837290.39,22947964.33,22372902.28,21676212.81,22003361.14,14.5,8.71,1.58,1.179781,0.1982943,
Q8K2H2,Deubiquitinase OTUD6B OS,Otud6b,1,1.1.1.1.1.-,1,130624.8486,142661.871,194577.8126,110593.5581,126591.8836,159477.1547,109454.0389,90859.08436,90483.87521,21.8,18.8,11.2,1.179503,0.3738621,
P35710,Transcription factor SOX-5 OS,Sox5,4,3.2.3.4.4.4,4,3041105.298,3317184.519,4489196.212,3437257.249,3351031.675,2408923.857,2649430.815,3624644.548,4932476.597,21.3,18.6,30.7,1.179432,0.3769523,
Q8CJ19,[F-actin]-monooxygenase MICAL3 OS,Mical3,4,4.3.3.4.4.4,4,753101.5943,739484.3863,724546.7796,658012.8162,645902.9295,576048.306,720384.9698,729309.8756,703025.4004,1.93,7.06,1.86,1.179348,0.0488903,
P68040,Receptor of activated protein C kinase 1 OS,Rack1,19,19.19.18.16.18.19,19,36612488.03,35656992.44,39620305.98,32849181.45,31572723.7,30466217.12,36008518.6,32783134.07,34017248.5,5.55,3.77,4.75,1.179176,0.01666173,
Q9DB05,Alpha-soluble NSF attachment protein OS,Napa,2,2.2.2.2.2.2,2,265182.5049,268535.3003,153277.8651,212032.1852,184423.9478,186445.9371,198783.1622,326504.2131,221786.0914,28.6,7.92,27.3,1.178578,0.5459493,
Q8CG50,Ras-related protein Rab-43 OS,Rab43,1,1.1.1.1.1.1,1,4905.249803,7186.065243,6611.946221,6308.089506,4659.256066,4906.673128,5200.054771,3926.235655,4748.433656,19,16.8,14,1.178231,0.345736,
P14152,"Malate dehydrogenase, cytoplasmic OS",Mdh1,21,21.18.19.19.18.20,21,25520274.54,23608591.18,16632365.84,19727643.33,19701322.01,16415287.53,20091759.92,19151268.29,18193766.43,21.3,10.2,4.96,1.177583,0.3802811,
Q8BK08,"Transmembrane protein 11, mitochondrial OS",Tmem11,1,1.1.1.1.1.1,1,337266.9716,295233.5283,340708.9717,254172.7141,280535.4878,291776.491,289582.6602,307875.5677,326107.0871,7.81,7.01,5.93,1.177529,0.05845233,
Q9QUK3,Protein CLN8 OS,Cln8,1,1.1.1.1.1.1,1,33082.99827,42647.4895,31537.54843,29803.37954,29350.27243,31977.43822,33394.72614,29465.91017,32429.34274,16.8,4.62,6.45,1.177074,0.2357569,
Q6ZWY3,40S ribosomal protein S27-like OS,Rps27l,1,1.1.1.1.1.1,1,541955.1987,433870.0405,150593.3814,386981.3363,245209.6151,325253.7762,536790.9001,386952.9649,279755.8918,53.8,22.3,32.2,1.176484,0.9208639,
